"Data Source","World Development Indicators",

"Last Updated Date","2021-02-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.80316353","17.03574371","20.4127636","23.89050102","27.83657074","31.27183914","38.10266113","41.72274399","44.99053192","50.85347366","51.44026184","55.03462982","59.00893402","58.90652847","60.18867111","65.70602417","49.84260941","","",
"Angola","AGO","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.99896717","28.91812134","29.04936409","34.87518692","49.81074142","54.26077652","69.81230164","92.86030579","135.6058197","119.99628448","96.69701385","122.10723114","122.18558502","143.60687256","131.6476593","108.58293915","95.12497711","114.33460236","87.61676788","","",
"Albania","ALB","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.61695099","89.58073425","96.27111816","125.98797607","156.56817627","165.26533508","174.53024292","222.30366516","220.46424866","186.44281006","192.0032196","211.07551575","213.71974182","236.95796204","251.35826111","192.88513184","202.01332092","226.28067017","274.91409302","","",
"Andorra","AND","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1292.03942871","1319.90600586","1508.52075195","1812.3157959","2033.00354004","2301.59350586","2158.87573242","2392.8203125","2774.4934082","2687.85595703","2642.16552734","2567.52539063","2342.56835938","2432.78271484","2529.08984375","2246.25439453","2361.2175293","2567.42382813","2821.80126953","","",
"Arab World","ARB","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113.811518608698","117.088829168806","116.421657904345","113.3147947892","124.084016685224","137.945954974245","158.918697622518","186.140625844351","217.181002421391","240.726498710521","245.61112344793","283.216092767765","306.166782684661","340.070541011011","367.349266422623","350.125407010675","348.060666539955","391.371034454971","392.551396957434","","",
"United Arab Emirates","ARE","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","787.02111816","777.13061523","857.91192627","886.5012207","894.54040527","913.3560791","974.52062988","1072.70532227","1303.14074707","1296.97766113","1314.63000488","1438.47216797","1403.52490234","1523.88378906","1588.28234863","1385.53771973","1298.12792969","1650.01855469","1817.34765625","","",
"Argentina","ARG","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","708.76953125","675.05786133","223.84860229","262.28659058","311.64505005","392.58874512","455.7980957","572.0401001","746.49328613","785.67022705","985.03442383","1208.39160156","1368.42297363","1421.65759277","1286.21765137","1531.48425293","1153.53405762","1529.61621094","1127.90722656","","",
"Armenia","ARM","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.12908936","32.25933838","59.63238907","66.77802277","72.17178345","96.35484314","126.25294495","172.60186768","266.31158447","252.83560181","297.22906494","330.57556152","336.32055664","396.23254395","405.72888184","364.97280884","357.45776367","405.6506958","422.28268433","","",
"American Samoa","ASM","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
